,id,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,year,state,zip_code,school_type,school_level,average_act
1508,180177000242,0.38686855358518446,-0.9660055317468107,-1.342807733739285,-0.5278138166999835,0.037039261928070284,2016-2017,IN,47394,Regular School,High,20.3333333333333
3893,360007700116,-0.8435081257866591,1.8506222676222572,1.8587276868538778,1.24824362657269,1.120997408432528,2016-2017,NY,10019,Regular School,High,19.4688644688645
6090,470140000416,0.6145606665089395,-0.5313847792664703,0.2498720943603782,-0.5709439717440482,0.19994934398012298,2016-2017,TN,38330,Regular School,High,19.2
4857,390444801400,-0.4208694247442206,-1.4325267587360977,-0.44380824441666455,-0.8034067900758695,-0.7390112785688865,2016-2017,OH,44663,Regular School,High,23.0
6536,481445000935,-0.3455452994453059,-0.19282464185498638,1.0237421293601625,-0.31996715038079976,-0.8577340586496286,2016-2017,TX,79510,Regular School,High,21.1782661782662
564,130123003855,3.1533761508329317,-0.7355674532684121,-0.9543711245996268,-1.1059820548652703,2.436368939481755,2016-2017,GA,30274,Regular School,High,16.9291819291819
5463,420321004930,0.04475457013238222,0.4033069873965848,0.7696420850123956,0.7680003506296829,-0.8695304319999956,2016-2017,PA,15012,Regular School,High,21.1782661782662
5161,390481703140,-0.45837245289710793,0.09697209835112981,-0.08023038477296707,0.291077972091416,-0.7986450672453321,2016-2017,OH,44044,Regular School,High,22.0
1862,210180000348,-0.018778725075313675,-0.6529341306802354,0.2882471786441566,-0.6031151653524699,0.3194810018171303,2016-2017,KY,41102,Regular School,Other,18.8
6598,481623001324,-1.4987556957710872,2.371924872772614,-1.0241051141240596,1.905947357581507,1.7496869982179448,2016-2017,TX,75204,Regular School,High,17.1489621489621
2805,261305005002,-0.9352247467038626,1.2350197310787336,-0.30192716758677524,0.257868998044013,-0.7197268029889422,2016-2017,MI,49629,Regular School,High,21.8
2058,220027000120,0.7510053390387189,-1.7191484915081185,-2.768293598005407,-1.3528077544725934,1.0439625331288007,2016-2017,LA,71111,Regular School,High,16.7
1738,181059001739,-0.6192317892560274,-0.9676793354575535,-1.190519738061104,-0.6372373861861765,-0.4157401482196879,2016-2017,IN,47842,Regular School,High,20.5921855921856
4751,390437505375,2.6825931869797617,-0.20212109512457355,-1.8801351604779473,-1.143383661886158,0.9555123317429781,2016-2017,OH,45211,Regular School,High,19.0
96,120027002425,0.2809506901258408,-0.5003919107300568,-0.4738000776429883,-0.6930284625858136,0.006992095879089769,2016-2017,FL,34461,Regular School,High,21.7399267399267
7273,484653005295,-0.41934025493343585,0.939597988642098,0.8043988865512371,0.8921188911318516,-0.986640462221493,2016-2017,TX,75098,Regular School,High,22.1550671550672
5670,421350001315,-0.4686887303579978,-0.7447425059154124,0.13355559688034074,-0.40373678741537394,-0.4492379080202965,2016-2017,PA,18235,Regular School,High,20.982905982906
7979,560516000278,-1.204555871427719,0.5088457255610125,-0.35180268852285773,-0.20182622520716348,-0.9606622878192466,2016-2017,WY,82435,Regular School,High,22.5
5326,390504304356,-1.000805654312524,1.8485218876983402,0.4321945190785491,0.9815340537544843,-1.2212159949262238,2016-2017,OH,45034,Regular School,High,24.0
5908,422279000196,-0.16930654076502094,0.014366287765798591,0.24793121257165485,-0.6352448477433323,0.26171603968352375,2016-2017,PA,15120,Regular School,High,19.8107448107448
3536,340007300531,0.590549270046044,0.751860920025211,0.0550912040001861,0.14051678600400253,0.9123118698326325,2016-2017,NJ,7305,Regular School,High,16.2698412698413
7968,560406000202,-0.372414980693203,0.6634038318524913,1.0831585530533665,0.5853509933689661,-0.9652397635013946,2016-2017,WY,83110,Regular School,High,21.7
2937,262157005855,0.15522606731811187,0.18702853954121032,1.0784171281737072,0.43080473039586425,-0.10519326307520144,2016-2017,MI,48197,Regular School,High,18.2
7036,483312003711,-0.5416721455148447,1.1578172554329547,0.6284190905181567,0.5838981007543923,-0.05875138904975856,2016-2017,TX,78240,Regular School,High,20.1526251526252
4748,390437504331,-1.2155575666306173,2.3651051986306912,1.8587276868538778,1.6883455551358986,-0.53335171980216,2016-2017,OH,45208,Regular School,High,22.0
610,130174000690,-0.26387721489530996,2.0942557772162314,1.5209674965780569,2.785570057662095,-0.5184540846206196,2016-2017,GA,30338,Regular School,High,22.1794871794872
840,130537002093,1.6710614237456904,-0.7977965334778861,-0.39945623667596314,-0.7185578613847546,0.7102643221817496,2016-2017,GA,30741,Regular School,High,22.0573870573871
7950,560142000046,-0.9520827953819005,0.3885708813953383,0.9363103052130485,0.06936655910744154,-0.8075425523468379,2016-2017,WY,82420,Regular School,High,19.0
6032,470014802045,-0.6354149604723358,0.6432468586856737,1.0429290315323605,-1.4295619957396535,1.470618064779139,2016-2017,TN,38103,Regular School,Other,16.7
170,120039007635,1.468931602790195,0.1635369346976469,-1.3081925589594636,-1.12769242164876,0.41950291441689974,2016-2017,FL,33160,Regular School,High,19.3223443223443
7293,530030000032,0.15237721342488028,-0.6108020907062193,-1.3677051541828025,-0.2319218579376225,0.32286640764670577,2016-2017,WA,98002,Regular School,High,21.1782661782662
2749,261062004532,-0.4347659786859826,0.22336818043385306,-0.6311710084314666,0.09672245147898978,-0.4060605524989333,2016-2017,MI,49321,Regular School,High,19.7
1552,180333000454,-1.0634771587867538,-0.5210116264254395,0.7564238460043126,0.31872444298587904,-0.5883654345326637,2016-2017,IN,46125,Regular School,Other,20.1892551892552
819,130454001617,-0.08007568828511144,-0.39045761246402816,0.6582958062988519,-0.1320043572724986,-0.0042505714914351685,2016-2017,GA,30025,Regular School,High,19.3223443223443
